label,sweep,m_easy,m_medium,m_hard,seed,verify_token_budget,Y,min_x,x_p10,x_median,x_max,eta,verifier_tokens_per_s,fill_ratio,mean_batch_size,target_utilization,mean_selected_gamma,share_easy_gsm8k,x_mean_easy_gsm8k,x_min_easy_gsm8k,alpha_hat_mean_easy_gsm8k,alpha_ucb_mean_easy_gsm8k,gamma_mean_easy_gsm8k,verification_opportunities_easy_gsm8k,verifier_token_positions_easy_gsm8k,verifier_token_share_easy_gsm8k,committed_useful_tokens_easy_gsm8k,committed_useful_token_share_easy_gsm8k,avg_wait_ms_easy_gsm8k,avg_z_queue_easy_gsm8k,share_medium_cnn_summarize,x_mean_medium_cnn_summarize,x_min_medium_cnn_summarize,alpha_hat_mean_medium_cnn_summarize,alpha_ucb_mean_medium_cnn_summarize,gamma_mean_medium_cnn_summarize,verification_opportunities_medium_cnn_summarize,verifier_token_positions_medium_cnn_summarize,verifier_token_share_medium_cnn_summarize,committed_useful_tokens_medium_cnn_summarize,committed_useful_token_share_medium_cnn_summarize,avg_wait_ms_medium_cnn_summarize,avg_z_queue_medium_cnn_summarize,share_hard_math,x_mean_hard_math,x_min_hard_math,alpha_hat_mean_hard_math,alpha_ucb_mean_hard_math,gamma_mean_hard_math,verification_opportunities_hard_math,verifier_token_positions_hard_math,verifier_token_share_hard_math,committed_useful_tokens_hard_math,committed_useful_token_share_hard_math,avg_wait_ms_hard_math,avg_z_queue_hard_math
mmed_1_wide10,am_wide10,1.0,1.0,1.0,1,10,41.86019250081938,1.4641891703506231,1.561633400090383,1.869299307942076,2.724002809024138,0.7535569866706605,46.93828696713921,0.7198921832884098,1.821024258760108,0.7198921832884098,2.9532267613972767,0.3512082289832092,2.100234867586999,1.8636502927358352,0.8905861451978384,0.999980453660572,2.8803418803418803,1053,4086.0,0.3059757376067096,3360,0.3338964523501938,1216.6262282620787,0.0,0.3484476786847503,1.6206763229119232,1.4641891703506231,0.7570134945330611,0.9790073697535672,3.343137254901961,1224,5316.0,0.3980829713943388,3343,0.3322070952996124,1260.522120059279,0.0,0.3003440923320403,2.514492304300615,2.36202851893946,0.9099545374908806,0.9997794516262256,2.589464123524069,1101,3952.0,0.2959412909989516,3360,0.3338964523501938,915.512961272894,0.0
mmed_2_wide10,am_wide10,1.0,2.0,1.0,1,10,45.63490146376381,1.617220874095901,1.7796507934191523,2.0073681715378955,2.9074042899126358,0.7467527647888369,50.357689475018,0.7318305268875611,1.85605649103748,0.7318305268875611,2.942932396839333,0.3414510801841148,2.226012342699685,2.00160532393423,0.8694951848928828,0.9999614866689784,2.874538745387454,1084,4200.0,0.3117345802716544,3360,0.3339628267567836,1085.2845123170937,0.0,0.362971537265072,1.8404633708047156,1.617220874095901,0.7567945757670637,0.9785170885689116,3.323817292006525,1226,5301.0,0.3934535738142952,3341,0.3320743464864327,1058.1773059570055,0.0,0.2955773825508132,2.697728945524716,2.5117173107112074,0.9134164846915412,0.9998096812575492,2.588075880758808,1107,3972.0,0.2948118459140503,3360,0.3339628267567836,820.0208464254249,0.0
mmed_4_wide10,am_wide10,1.0,4.0,1.0,1,10,44.6342862188687,1.5553290858505378,1.709190523496793,1.9572764560505265,2.9046121237027367,0.7533158486324466,48.13384543666386,0.7151661307609861,1.8258306538049305,0.7151661307609861,2.916935720575286,0.3435322451193359,2.190473793438143,1.9086866524644013,0.8736437177979219,0.9996592984033176,2.833333333333333,1074,4117.0,0.3085050580741851,3360,0.3342285884810504,1113.1925717521297,0.0,0.3619130542873707,1.7948589834897193,1.5553290858505378,0.753316772184698,0.9774619205141164,3.3220757825370675,1214,5247.0,0.3931809666541776,3333,0.3315428230378991,1103.1281467933557,0.0,0.2945547005932932,2.629447762678845,2.423824963165089,0.891543345878963,0.9990950092893836,2.557640750670241,1119,3981.0,0.2983139752716373,3360,0.3342285884810504,837.6004185695355,0.0
mmed_8_wide10,am_wide10,1.0,8.0,1.0,1,10,45.32737494662119,1.611539273537555,1.732235610279922,1.993822849031964,2.957901170666742,0.7601450918159147,49.25946107292543,0.7199673558215451,1.840043525571273,0.7199673558215451,2.912773506800709,0.3411918384041718,2.20933291258184,1.9359021899747888,0.8777285997526328,0.999985120476242,2.835195530726257,1074,4119.0,0.3112672863296304,3360,0.3340292275574112,1108.5186415055844,0.0,0.3626478353822733,1.82643048977254,1.611539273537555,0.767897978171237,0.9810665670197616,3.316708229426434,1203,5193.0,0.3924280208569485,3339,0.3319415448851774,1095.7255972506714,0.0,0.2961603262135551,2.684834030119091,2.501500630318589,0.9055765808457356,0.9999990000000002,2.54841628959276,1105,3921.0,0.296304692813421,3360,0.3340292275574112,831.4349417158464,0.0
mmed_16_wide10,am_wide10,1.0,16.0,1.0,1,10,45.22782125480575,1.5830492745225062,1.7496607598586775,2.0042535743612047,2.92368248581994,0.749088202456271,49.5578345767072,0.7234787291330103,1.8449111470113089,0.7234787291330103,2.92148277875073,0.3433393828014264,2.2183560335826056,1.9204161989805035,0.8674274866650415,0.9990206597308008,2.8376146788990826,1090,4183.0,0.31135094901377,3360,0.3338632750397456,1087.8723035642245,0.0,0.3623813494007093,1.8210798774189545,1.5830492745225062,0.7567060761306228,0.9801659399154248,3.323190789473684,1216,5257.0,0.3912914030517305,3344,0.3322734499205087,1074.2223100159397,0.0,0.2942792677978642,2.661922024591383,2.4788139066280044,0.9113925533424052,0.999951853888816,2.5669642857142856,1120,3995.0,0.2973576479344994,3360,0.3338632750397456,821.4457406488413,0.0
mmed_32_wide10,am_wide10,1.0,32.0,1.0,1,10,45.78880265583831,1.6035398352260322,1.7375780697206331,2.0223588562321275,3.002414847146333,0.7546872656367182,48.52584504988643,0.7126670229823624,1.81560662747194,0.7126670229823624,2.925228142478657,0.3436684178056938,2.2480236231355866,1.9708649995669216,0.8749733515596303,0.9999429152204474,2.8666666666666667,1065,4118.0,0.3088345582720864,3360,0.3338964523501938,1095.341329624033,0.0,0.3613244528150381,1.8382904516307268,1.6035398352260322,0.754663380028056,0.9786495998674988,3.3243021346469623,1218,5267.0,0.3950052497375131,3343,0.3322070952996124,1065.1568906026894,0.0,0.295007129379268,2.701604645842533,2.445580311498701,0.9001869048349442,0.9995367741945812,2.544883303411131,1114,3949.0,0.2961601919904005,3360,0.3338964523501938,823.2366695566162,0.0
mmed_64_wide10,am_wide10,1.0,64.0,1.0,1,10,46.28051800010049,1.6282975252325833,1.7637381284145226,2.033838001153103,3.0144428195015665,0.7421782762691853,51.06003251536364,0.7361216730038023,1.875067897881586,0.7361216730038023,2.925840092699884,0.3415677181714198,2.2582758470122357,1.9759858389006209,0.868002670265207,0.9994786233184172,2.841011743450768,1107,4252.0,0.313754427390791,3360,0.3340624378604096,1045.760897102974,0.0,0.3624882937986317,1.8640162228859212,1.6282975252325833,0.7459131395852014,0.9755472914115766,3.322528363047001,1234,5334.0,0.393595041322314,3338,0.3318751242791807,1027.4744668809417,0.0,0.2959439880299485,2.739288213008311,2.531902438778362,0.8978674505621972,0.9996380320873134,2.56975697569757,1111,3966.0,0.2926505312868949,3360,0.3340624378604096,797.3743918436255,0.0
mmed_1_wide10,am_wide10,1.0,1.0,1.0,2,10,37.168285043146845,1.292906985712478,1.3773350232070614,1.6683476704888762,2.4011872770304863,0.7630255941499086,41.50824216276588,0.7050483351235229,1.7900107411385606,0.7050483351235229,2.938793879387939,0.3514675626505572,1.8662066502879973,1.655572133217006,0.8860408458204554,0.9999990000000004,2.861111111111111,1044,4031.0,0.3070536258379037,3360,0.3354297693920335,1415.0412426104108,0.0,0.3471322661764779,1.433590112991206,1.292906985712478,0.7780612033063011,0.9863701997090248,3.360780984719864,1178,5137.0,0.3913010359536867,3297,0.3291404612159329,1494.3776726619024,0.0,0.3014001711729651,2.240505494842004,2.1247363447119643,0.9280767371108912,0.9998700371786512,2.5643564356435644,1111,3960.0,0.3016453382084095,3360,0.3354297693920335,1056.484142444355,0.0
mmed_2_wide10,am_wide10,1.0,2.0,1.0,2,10,41.10616356850571,1.476641295322361,1.546883447945144,1.824321052462576,2.654735464444247,0.7588239740004534,45.14641697789501,0.7222161572052401,1.8384279475982528,0.7222161572052401,2.928444180522565,0.3435350451876778,2.0173439655712406,1.7945781939200485,0.8793580274504692,0.9999703593994932,2.843045112781955,1064,4089.0,0.3090469352278739,3360,0.3346613545816733,1237.5100119864417,0.0,0.3599561310509301,1.6440461778295568,1.476641295322361,0.7827434723908601,0.9882528067907488,3.355498721227621,1173,5109.0,0.3861386138613861,3320,0.3306772908366533,1253.5378672962993,0.0,0.2965088237613918,2.437668041808201,2.292978022004795,0.8995743574813938,0.9996615528133606,2.565870910698497,1131,4033.0,0.3048144509107399,3360,0.3346613545816733,908.0485395333196,0.0
mmed_4_wide10,am_wide10,1.0,4.0,1.0,2,10,42.48673925890444,1.456443938457506,1.566680118911662,1.893928210329613,2.769065054740244,0.7731377846391355,45.43270365025943,0.7133810572687225,1.8144273127753303,0.7133810572687225,2.9317147192716235,0.3467448741278372,2.1045798652044376,1.8663051347933568,0.8922336842213745,0.9999990000000002,2.866149369544132,1031,3986.0,0.3076804322655345,3360,0.3354632587859425,1240.6352754871982,0.0,0.356525425112507,1.6830669751027942,1.456443938457506,0.7941821149627846,0.9896559437211104,3.374019180470793,1147,5017.0,0.3872636047857969,3296,0.329073482428115,1247.557380497765,0.0,0.2967297007596557,2.5214154853096464,2.356679031491651,0.9119372700095004,0.9999719722619544,2.5380483437779766,1117,3952.0,0.3050559629486685,3360,0.3354632587859425,891.9681427872592,0.0
