label,sweep,m_easy,m_medium,m_hard,seed,verify_token_budget,Y,min_x,x_p10,x_median,x_max,eta,verifier_tokens_per_s,fill_ratio,mean_batch_size,target_utilization,mean_selected_gamma,share_easy_gsm8k,x_mean_easy_gsm8k,x_min_easy_gsm8k,alpha_hat_mean_easy_gsm8k,alpha_ucb_mean_easy_gsm8k,gamma_mean_easy_gsm8k,verification_opportunities_easy_gsm8k,verifier_token_positions_easy_gsm8k,verifier_token_share_easy_gsm8k,committed_useful_tokens_easy_gsm8k,committed_useful_token_share_easy_gsm8k,avg_wait_ms_easy_gsm8k,avg_z_queue_easy_gsm8k,share_medium_cnn_summarize,x_mean_medium_cnn_summarize,x_min_medium_cnn_summarize,alpha_hat_mean_medium_cnn_summarize,alpha_ucb_mean_medium_cnn_summarize,gamma_mean_medium_cnn_summarize,verification_opportunities_medium_cnn_summarize,verifier_token_positions_medium_cnn_summarize,verifier_token_share_medium_cnn_summarize,committed_useful_tokens_medium_cnn_summarize,committed_useful_token_share_medium_cnn_summarize,avg_wait_ms_medium_cnn_summarize,avg_z_queue_medium_cnn_summarize,share_hard_math,x_mean_hard_math,x_min_hard_math,alpha_hat_mean_hard_math,alpha_ucb_mean_hard_math,gamma_mean_hard_math,verification_opportunities_hard_math,verifier_token_positions_hard_math,verifier_token_share_hard_math,committed_useful_tokens_hard_math,committed_useful_token_share_hard_math,avg_wait_ms_hard_math,avg_z_queue_hard_math
mhard_1_wide10,a_wide10,1.0,1.0,1.0,3,10,38.468513135669646,1.337180698568939,1.3679654883776495,1.7385125992612174,2.481706982211592,0.7562457798784605,42.852637467874615,0.7063593004769476,1.7906730259671435,0.7063593004769476,2.944658182894347,0.35644016769988646,1.958817610463339,1.7118305159357452,0.8997208090449202,0.9999990000000003,2.869439071566731,1034,4001.0,0.30017255608072624,3360,0.3333333333333333,1356.5507645095254,0.0,0.3463715212983115,1.4804886018762193,1.337180698568939,0.7725879241659172,0.9794969638881785,3.3488182559087205,1227,5336.0,0.40033010728486756,3360,0.3333333333333333,1408.5961674175533,0.0,0.29718831100180215,2.2864784891080605,2.160475082782785,0.9227599572756561,0.9998685598542059,2.5706618962432914,1118,3992.0,0.2994973366344062,3360,0.3333333333333333,1016.7213024386681,0.0
mhard_2_wide10,a_wide10,1.0,1.0,2.0,3,10,38.55381207239492,1.290988769194536,1.37979987025016,1.700504782716609,2.512172187983336,0.7668314948649677,42.96552199907547,0.7124661246612466,1.8065040650406503,0.7124661246612466,2.943894389438944,0.35278206044269106,1.9430133229742539,1.654390624791094,0.8949307684907556,0.9999990000000002,2.84375,1056,4059.0,0.3087866108786611,3360,0.3333333333333333,1339.7490187809005,0.0,0.3462306794434197,1.4831680609954676,1.290988769194536,0.7818458387912356,0.9833766874374156,3.354063018242123,1206,5251.0,0.399467478128566,3360,0.3333333333333333,1433.684550830175,0.0,0.30098726011388915,2.3208412525231856,2.1964876974803134,0.9389287940692738,0.9999990000000003,2.580765639589169,1071,3835.0,0.2917459109927729,3360,0.3333333333333333,1059.1073634169124,0.0
mhard_4_wide10,a_wide10,1.0,1.0,4.0,3,10,38.19024822730077,1.3029052291007148,1.36996243794349,1.7020193111855213,2.4785029924785906,0.7637162776598969,42.039218586020304,0.7037866666666667,1.7856,0.7037866666666667,2.941457586618877,0.35725880712631675,1.9491146465062008,1.6490233629199051,0.9016210147043904,0.9999737805893134,2.8482228626320847,1041,4006.0,0.3035768414671112,3360,0.33339948402460806,1368.3694380343045,0.0,0.3438440843409048,1.4590545480520107,1.3029052291007148,0.7774430928744774,0.9797010971204496,3.3620689655172415,1218,5313.0,0.40262200666868747,3358,0.3332010319507839,1448.920974715716,0.0,0.2988971085327785,2.282990953857854,2.140827136238682,0.9227372123965725,0.9999990000000001,2.5601469237832872,1089,3877.0,0.29380115186420125,3360,0.33339948402460806,1065.9857322925686,0.0
mhard_8_wide10,a_wide10,1.0,1.0,8.0,3,10,37.59724012216398,1.3232491937939685,1.3794010376352803,1.6686643198032423,2.460654826620828,0.760667479427004,42.0928953721563,0.7113279132791328,1.8,0.7113279132791328,2.9518217404396268,0.3490875541692353,1.874961228251381,1.436445858235968,0.8838244598524524,0.9999990000000002,2.896722939424032,1007,3924.0,0.2989942090825968,3268,0.32735650606030253,1424.8814799306765,0.0,0.34821835863786693,1.4546721382948553,1.3232491937939685,0.7807411937916827,0.9814445837300495,3.338748984565394,1231,5341.0,0.40696434014020116,3355,0.3360713212461184,1434.0931890038416,0.0,0.30269408719289753,2.276092455950122,2.1553204579464365,0.9317043137633629,0.9999989999999999,2.5632502308402585,1083,3859.0,0.29404145077720206,3360,0.3365721726935791,1067.7136910914007,0.0
mhard_16_wide10,a_wide10,1.0,1.0,16.0,3,10,37.904768130617974,1.2819213060143189,1.3424435856071968,1.675072107297928,2.494734509463707,0.7630741246020919,42.55724729052384,0.7116504854368932,1.807443365695793,0.7116504854368932,2.937332139659803,0.352851859073205,1.910681128946761,1.6443497453265636,0.8959883019117099,0.9999831440898865,2.8420056764427626,1057,4061.0,0.30779142034257995,3360,0.33373063170441003,1375.6072583145576,0.0,0.34434880157598097,1.4502734977548597,1.2819213060143189,0.7670062169885999,0.9787804876151741,3.340668296658517,1227,5326.0,0.4036683340912536,3348,0.33253873659118,1445.4712213520609,0.0,0.30279933935081416,2.295507749639383,2.167536014797031,0.937863636620844,0.9999990000000003,2.5679475164011247,1067,3807.0,0.2885402455661664,3360,0.33373063170441003,1087.4740576835638,0.0
mhard_32_wide10,a_wide10,1.0,1.0,32.0,3,10,38.89534458081858,1.358672418018695,1.442275169434943,1.7105675055103111,2.524198145346084,0.7682629251181943,42.80102477096368,0.7065732758620689,1.793103448275862,0.7065732758620689,2.9405048076923075,0.3503666137334493,1.9468043101110106,1.6563527732249501,0.8870606932611079,0.9999976706981245,2.8556603773584905,1060,4087.0,0.31165166997102334,3360,0.33349875930521095,1330.6706936735684,0.0,0.350391303855408,1.5142878335087113,1.358672418018695,0.7820378265577572,0.9820704697080599,3.344712739383847,1201,5218.0,0.3978953789842916,3355,0.33300248138957816,1418.4224370317472,0.0,0.2992420824111428,2.3278247816926223,2.1932506211748963,0.9370274594414901,0.9999990000000003,2.5698219306466727,1067,3809.0,0.29045295104468505,3360,0.33349875930521095,1060.1051961052399,0.0
mhard_64_wide10,a_wide10,1.0,1.0,64.0,3,10,37.93423487380016,1.3385924481305957,1.3475295623226018,1.6772558953710985,2.4610490414845967,0.7618471770841206,42.67122336271621,0.7151891891891892,1.8135135135135134,0.7151891891891892,2.9436661698956783,0.35288630713269625,1.912353151217097,1.6402289116381394,0.8962139257393588,0.9999990000000003,2.8454976303317534,1055,4057.0,0.30662837276094024,3360,0.3333333333333333,1367.463980859692,0.0,0.3454160990564714,1.455899492311112,1.3385924481305957,0.7710574295891417,0.9781589771476722,3.3509771986970684,1228,5343.0,0.40382435190083893,3360,0.3333333333333333,1436.2649482656032,0.0,0.3016975938108325,2.288933476896095,2.1672634041074215,0.9354487841848425,0.999999,2.5736940298507465,1072,3831.0,0.28954727533822083,3360,0.3333333333333333,1074.1405613233412,0.0
